iter	Passed	Remaining
0	7723	7715801
1	15252	7611016
2	22796	7576146
3	30377	7564071
4	37919	7546072
5	45422	7525047
6	52952	7511660
7	60518	7504274
8	68077	7496044
9	75626	7487071
10	83104	7471826
11	90614	7460587
12	98067	7445563
13	105597	7437075
14	113065	7424630
15	120559	7414403
16	128028	7403058
17	135489	7391704
18	142984	7382491
19	150469	7372996
20	157958	7363874
21	165597	7361563
22	173077	7352018
23	180552	7342487
24	187983	7331374
25	195720	7332002
26	203466	7332314
27	211111	7328581
28	218904	7329529
29	226521	7324185
30	233971	7313481
31	241328	7300177
32	257610	7548779
33	265324	7538344
34	272866	7523312
35	280417	7508950
36	287936	7494129
37	295444	7479408
38	302992	7466052
39	310460	7451057
40	317993	7437945
41	325587	7426497
42	333155	7414654
43	340656	7401536
44	348152	7388560
45	355650	7375891
46	363230	7365078
47	370941	7357005
48	378986	7355436
